,EGFR,IGFR,SOS_inactive,SOS_active,Ras_inactive,Ras_active,PI3K_inactive,PI3K_active,Akt_inactive,Akt_active,Raf_inactive,Raf_active,Mek_inactive,Mek_active,Erk_inactive,Erk_active,,EGFR,IGFR,SOS_inactive,SOS_active,Ras_inactive,Ras_active,PI3K_inactive,PI3K_active,Akt_inactive,Akt_active,Raf_inactive,Raf_active,Mek_inactive,Mek_active,Erk_inactive,Erk_active
Sos activation by EGFR,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000114151003849775,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Sos activation by IGFR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1/200,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SOS deactivation,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.39182915298987,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ras Activation by SOS,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.000899586419426883,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Ras Deactivation by RasGap,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.000877891106596575,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PI3K Activation by EGFR,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0000577231331660466,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
PI3K Activation by IGFR,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0000577231331660466,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
PI3K Activation by Ras,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.000000283422163084071,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
PI3K Deactivation,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Akt Activation by PI3K,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.000000865934909496277,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Akt Deactivation,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Raf activation by Ras,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0000288163215645342,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Raf deactivation by RafPP,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00339075642124497,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Raf deactivation by Akt,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.00000502702023375644,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Mek activation by Raf,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0000389566621577695,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Mek deactivation by PP2A,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.000163802549194991,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Erk activation by Mek,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.00000978187106637282,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Erk deactivation by PP2A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0000762764944272685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
