,a(p(Raf)),a(p(Mek)),a(p(Erk))
2,46,56,82
3,57,75,91
4,47,55,79
5,49,61,87
6,53,69,86
7,46,48,81
8,46,55,85
9,46,55,81
10,45,60,82
11,47,58,81
12,56,63,85
13,45,48,83
14,53,70,84
15,53,64,88
16,51,60,90
17,55,70,88
18,48,61,84
19,47,65,77
20,49,63,84
21,50,65,79
22,52,68,82
23,44,62,88
24,46,52,77
25,52,69,90
26,53,67,85
27,43,59,93
28,50,58,85
29,50,62,82
30,52,67,82
31,43,63,83
32,52,62,86
33,53,76,86
34,55,73,88
35,56,70,90
36,55,66,89
37,51,63,82
38,48,66,86
39,42,55,84
40,44,59,83
41,52,65,82
42,40,53,76
43,40,57,80
44,48,61,88
45,45,60,82
46,49,53,87
47,50,59,87
48,48,67,83
49,46,63,89
50,47,58,85
51,54,68,73
52,36,50,71
53,52,65,80
54,55,71,85
55,43,56,76
56,50,67,87
57,61,76,86
58,49,61,85
59,39,58,88
60,44,62,85
61,50,63,85
62,48,52,80
63,47,59,89
64,57,62,90
65,50,62,82
66,43,69,88
67,51,61,86
68,54,69,79
69,49,63,80
70,44,66,85
71,50,68,84
72,54,66,78
73,45,59,85
74,48,59,87
75,55,68,88
76,51,67,84
77,45,63,78
78,41,52,86
79,41,63,72
80,52,60,90
81,49,70,86
82,41,52,81
83,50,66,86
84,39,49,76
85,42,65,81
86,47,61,84
87,52,65,88
88,46,56,82
89,47,60,92
90,46,59,82
91,53,68,79
92,44,65,85
93,56,70,89
94,45,61,79
95,47,66,84
96,46,58,87
97,52,65,86
98,45,53,76
99,44,62,84
100,44,51,84
101,58,72,82
102,51,63,87
103,55,78,82
104,53,60,85
105,49,66,89
106,48,64,81
107,42,56,76
108,42,56,89
109,51,69,84
110,48,62,80
111,49,62,91
112,53,62,79
113,50,65,86
114,53,60,85
115,51,66,84
116,53,58,88
117,59,73,86
118,52,63,86
119,45,71,85
120,53,70,88
121,54,66,93
122,37,39,75
123,49,60,79
124,50,68,84
125,47,67,77
126,49,58,85
127,44,54,85
128,42,59,89
129,46,58,81
130,45,59,79
131,56,76,86
132,52,72,79
133,44,64,81
134,56,71,83
135,49,67,82
136,51,62,83
137,46,58,90
138,50,63,86
139,52,61,90
140,40,58,86
141,48,60,91
142,54,77,91
143,46,62,81
144,55,72,84
145,39,51,86
146,47,63,87
147,45,58,80
148,52,65,82
149,52,70,85
150,48,65,78
151,43,61,91
152,45,66,81
153,56,72,85
154,53,65,85
155,52,68,86
156,52,63,86
157,48,60,83
158,56,68,85
159,52,66,84
160,54,61,83
161,49,66,83
162,45,58,89
163,47,63,85
164,56,65,90
165,53,63,80
166,48,64,75
167,48,54,79
168,48,65,83
169,53,61,83
170,55,68,82
171,54,69,87
172,57,60,91
173,53,67,89
174,51,65,90
175,52,66,80
176,54,66,88
177,37,55,81
178,50,67,83
179,51,58,88
180,48,65,84
181,46,64,91
182,50,60,83
183,51,67,88
184,38,50,78
185,49,64,82
186,47,63,79
187,50,66,91
188,44,57,83
189,51,67,81
190,47,56,80
191,56,61,88
192,49,56,74
193,40,53,83
194,49,64,88
195,52,68,86
196,49,57,86
197,46,62,85
198,49,65,87
199,57,60,88
200,50,63,79
201,51,56,80
202,46,63,88
203,55,72,88
204,50,68,83
205,58,76,87
206,50,62,88
207,52,65,90
208,46,55,89
209,55,70,86
210,51,62,82
211,47,60,80
212,54,64,85
213,47,63,88
214,46,61,86
215,44,68,84
216,51,61,90
217,44,58,85
218,54,68,83
219,48,57,84
220,47,63,82
221,55,64,87
222,46,62,80
223,47,66,80
224,54,66,87
225,44,66,86
226,55,70,91
227,41,60,80
228,38,58,82
229,49,72,90
230,55,68,84
231,49,65,83
232,42,55,83
233,41,57,79
234,47,75,85
235,53,71,84
236,56,65,86
237,46,64,92
238,47,58,82
239,52,55,87
240,54,54,81
241,51,67,85
242,45,66,88
243,60,68,88
244,47,73,90
245,49,65,86
246,47,65,87
247,46,58,83
248,65,73,87
249,52,62,82
250,53,58,83
251,50,67,84
252,45,63,82
253,55,78,84
254,49,64,82
255,54,62,79
256,48,62,79
257,61,71,88
258,57,67,85
259,47,59,79
260,42,58,81
261,51,71,85
262,42,56,87
263,42,62,84
264,44,63,82
265,54,68,85
266,48,54,88
267,50,59,85
268,44,62,83
269,50,63,85
270,48,70,86
271,57,67,84
272,49,66,87
273,44,63,82
274,53,62,86
275,46,65,86
276,55,70,80
277,49,60,85
278,54,73,91
279,52,56,87
280,52,65,80
281,43,64,87
282,47,53,85
283,62,69,80
284,46,64,83
285,52,71,82
286,52,64,87
287,49,78,88
288,54,62,79
289,52,65,83
290,47,53,88
291,41,60,86
292,50,60,84
293,57,71,85
294,55,71,89
295,47,68,89
296,49,63,88
297,54,59,84
298,50,63,85
299,51,67,84
300,41,58,89
301,48,55,80
302,35,54,79
303,47,60,87
304,51,65,91
305,57,69,90
306,44,57,87
307,45,52,88
308,50,65,88
309,51,64,84
310,49,59,80
311,57,66,82
312,45,59,80
313,48,66,76
314,55,78,89
315,48,58,81
316,50,70,82
317,53,59,89
318,49,69,84
319,41,65,84
320,37,56,82
321,46,62,80
322,48,63,86
323,45,55,89
324,42,61,84
325,50,61,84
326,45,59,88
327,61,71,84
328,48,65,82
329,50,69,81
330,41,52,83
331,49,58,85
332,57,71,78
333,48,66,82
334,49,55,77
335,46,59,83
336,46,56,81
337,46,62,87
338,49,67,78
339,57,72,86
340,47,66,80
341,50,60,92
342,47,60,91
343,47,67,83
344,42,55,84
345,55,73,85
346,62,72,92
347,54,60,88
348,48,72,83
349,48,59,87
350,42,57,85
351,48,60,83
352,58,74,90
353,46,64,83
354,49,64,82
355,51,61,91
356,49,67,85
357,50,60,82
358,41,48,75
359,39,56,84
360,42,54,77
361,53,68,87
362,54,65,86
363,48,59,80
364,41,60,78
365,43,63,76
366,50,74,89
367,51,55,82
368,44,62,82
369,47,58,84
370,55,68,87
371,50,64,94
372,40,53,79
373,50,74,83
374,50,57,82
375,49,60,84
376,48,65,88
377,51,72,94
378,55,68,79
379,52,63,81
380,49,60,79
381,52,59,81
382,48,68,86
383,56,65,85
384,45,54,83
385,52,63,87
386,58,71,81
387,51,52,85
388,48,53,88
389,53,66,87
390,63,66,89
391,50,63,88
392,52,63,81
393,51,65,88
394,55,61,84
395,44,56,81
396,50,60,82
397,46,64,85
398,52,65,89
399,47,66,93
400,60,61,85
401,48,64,80
402,42,57,79
403,48,60,86
404,46,64,82
405,51,71,88
406,39,61,81
407,48,67,86
408,47,62,88
409,51,59,73
410,53,66,82
411,50,68,92
412,39,57,76
413,49,63,77
414,49,62,86
415,51,61,80
416,48,66,85
417,58,70,90
418,52,62,84
419,45,56,83
420,51,69,85
421,50,68,86
422,50,66,75
423,59,65,82
424,46,64,77
425,51,65,89
426,42,62,85
427,47,55,80
428,48,63,82
429,47,66,81
430,42,59,82
431,45,58,81
432,60,74,93
433,41,56,85
434,56,65,90
435,50,67,84
436,47,70,80
437,50,64,83
438,49,63,86
439,52,69,81
440,51,63,86
441,53,61,80
442,47,73,85
443,55,63,87
444,44,56,79
445,50,68,83
446,41,56,80
447,47,62,85
448,47,65,82
449,50,66,86
450,55,63,90
451,57,71,91
452,45,59,83
453,56,63,78
454,57,67,89
