,a(p(Erk))
0,-15.108154296875
1,-15.480300903320312
2,-16.997062683105483
3,-11.170913696289062
4,-8.047912597656236
5,-9.514556884765625
6,-7.511367797851577
7,-8.498992919921875
8,-1.1125640869140625
9,-7.745262145996094
10,-6.279502868652344
11,-7.1018753051757955
12,-6.4558868408203125
13,-12.387367248535156
14,-9.227134704589844
15,-8.229545593261719
16,-4.9131317138671875
17,-1.65960693359375
18,-6.3732757568359375
19,-23.29946899414061
20,-20.008079528808594
21,-9.333602905273438
22,-4.434135437011719
23,-5.7180938720703125
24,-10.496574401855469
25,-9.044120788574219
26,-10.723114013671875
27,-9.995475769042955
28,-10.338836669921875
29,-8.567573547363281
30,-8.965019226074219
31,-5.4853363037109375
32,-10.046356201171875
33,-16.077438354492188
34,-15.288414001464844
35,-5.520179748535156
36,-10.950141906738281
37,-2.1557464599609375
38,-23.15122222900392
39,0.18784332275390625
40,-11.112594604492188
41,-4.20794677734375
42,-10.954055786132812
43,-3.090972900390625
44,-1.618133544921875
45,-5.305473327636719
46,-13.770820617675767
47,-14.256912231445312
48,-10.5911865234375
49,-5.867401123046875
50,-13.006942749023438
51,-12.850692749023438
52,-0.8458328247070312
53,-10.961051940917969
54,-13.285545349121094
55,-12.777481079101562
56,-10.052001953125
57,-10.348701477050781
58,-7.8176116943359375
59,-1.2512741088867188
60,-6.536895751953125
61,-6.300201416015625
62,-4.9512176513671875
63,-9.119987487792969
64,-3.7942428588867188
65,-5.089607238769531
66,-4.991722106933594
67,-6.5256195068359375
68,-3.0584030151367188
69,-8.743370056152344
70,-10.617866516113281
71,-5.957023620605469
72,-1.4315414428710938
73,-13.558403015136719
74,-2.0686874389648438
75,-10.496299743652344
76,-1.8545303344726562
77,-10.388908386230469
78,-15.182929992675781
79,-7.979454040527344
80,-8.027984619140625
81,-10.988876342773438
82,-8.8319091796875
83,0.154022216796875
84,-11.483177185058608
85,0.7177276611328125
86,-4.351600646972656
87,-13.100692749023438
88,-8.46771240234375
89,-5.2744140625
90,-13.573287963867188
91,-5.172035217285156
92,-2.5959243774414062
93,-11.286094665527344
94,-6.8574066162109375
95,-2.8242034912109375
96,-14.090782165527344
97,-2.1401519775390625
98,-11.500480651855469
99,-7.631324768066406
100,-5.0327835083007955
101,-5.151924133300781
102,-3.3236618041992188
103,-7.608680725097656
104,-1.0333938598632812
105,-3.0277557373046875
106,-16.85793304443358
107,-10.489334106445327
108,-1.54229736328125
109,-12.20644378662108
110,-4.607322692871094
111,-12.724678039550781
112,-8.599403381347656
113,-16.167587280273438
114,-6.6832427978515625
115,-3.409645080566392
116,-13.762565612792969
117,-6.144508361816406
118,-10.742187499999986
119,3.6490936279296875
120,-10.475990295410156
