,a(p(SOS)),a(p(Ras)),a(p(PI3K)),a(p(AKT)),a(p(Raf)),a(p(Mek)),a(p(Erk))
1,56,56,68,62,39,80,92
2,49,54,64,52,36,71,85
3,56,52,70,55,42,75,88
4,55,43,59,51,29,78,89
5,53,45,66,58,36,80,89
6,48,52,66,62,35,71,85
7,47,48,64,59,37,83,90
8,45,48,66,58,41,71,88
9,44,49,61,61,39,76,89
10,49,48,65,60,33,76,88
11,46,40,67,51,33,71,94
12,54,56,69,54,32,83,90
13,41,48,71,59,40,81,90
14,37,36,66,52,36,75,92
15,43,55,70,55,34,82,94
16,56,44,71,70,35,79,90
17,54,58,67,53,41,76,90
18,52,51,56,52,26,76,87
19,45,47,68,63,41,79,87
20,47,37,68,60,33,72,90
21,46,58,61,59,35,77,86
22,45,41,67,57,40,79,92
23,49,35,65,50,26,65,92
24,48,52,73,57,28,78,94
25,44,44,71,52,35,78,90
26,44,35,64,63,40,76,86
27,48,44,64,59,31,75,86
28,49,48,64,57,30,75,82
29,45,46,62,46,45,83,90
30,49,43,55,45,40,85,92
31,46,46,63,54,33,78,90
32,41,39,72,52,38,82,86
33,48,48,70,54,41,82,87
34,44,47,61,48,48,82,92
35,52,54,67,55,47,79,84
36,48,50,65,53,46,81,91
37,45,33,55,60,25,64,83
38,44,42,59,44,37,80,96
39,48,49,63,55,46,85,88
40,51,55,67,49,40,74,90
41,48,42,68,51,37,78,91
42,48,54,62,61,27,68,91
43,57,53,73,60,32,78,86
44,54,46,65,56,47,82,88
45,51,46,58,44,38,76,90
46,44,54,54,48,37,84,92
47,38,49,52,57,31,77,86
48,41,42,60,63,35,81,86
49,50,50,60,51,38,80,90
50,47,47,70,57,36,76,86
51,46,52,68,61,39,83,90
52,45,38,58,54,43,81,92
53,43,52,64,43,29,81,90
54,49,50,69,61,34,83,81
55,37,46,68,50,29,89,90
56,40,44,71,60,29,71,89
57,46,45,69,63,26,74,86
58,46,52,59,51,33,76,84
59,45,45,70,61,23,81,88
60,55,55,64,57,36,77,87
61,47,43,70,51,27,71,86
62,46,45,66,47,35,80,86
63,48,47,56,45,42,87,88
64,42,50,68,53,29,77,90
65,46,39,65,51,45,83,82
66,46,40,55,47,36,85,92
67,44,45,65,61,39,77,86
68,43,42,56,60,30,69,82
69,39,36,57,56,27,73,87
70,49,45,71,60,38,84,94
71,48,54,59,56,46,83,96
72,47,51,58,52,34,74,86
73,46,49,66,55,32,80,93
74,45,54,69,49,35,79,86
75,43,52,70,53,41,78,83
76,46,54,56,52,46,82,85
77,49,52,63,54,36,75,88
78,53,49,70,48,46,78,91
79,51,44,57,57,37,77,91
80,37,45,61,48,34,79,92
81,49,45,55,54,30,82,94
82,47,39,60,59,42,79,90
83,37,36,63,57,36,81,90
84,47,43,64,58,42,84,86
85,53,53,65,58,43,82,90
86,44,45,60,54,45,84,90
87,42,47,74,60,26,76,89
88,61,49,63,55,30,78,85
89,38,45,61,60,35,77,88
90,41,53,70,44,29,75,86
91,44,42,68,58,24,76,92
92,41,46,59,64,43,73,87
93,42,43,71,69,30,76,88
94,39,44,58,58,19,67,84
95,54,50,67,60,31,71,88
96,44,48,65,60,35,76,84
97,49,52,67,60,33,77,89
98,48,57,69,59,45,83,90
99,40,48,66,59,35,84,89
100,47,44,71,53,45,86,89
101,51,51,64,58,30,81,88
102,42,42,61,55,33,73,90
103,40,44,67,58,32,72,89
104,42,46,63,56,29,76,92
105,49,47,64,51,43,86,90
106,50,48,69,46,37,72,91
107,41,44,69,52,28,80,86
108,43,47,67,61,43,87,91
109,49,35,63,60,32,69,87
110,57,48,66,51,35,76,95
111,45,49,67,68,34,75,81
112,41,49,62,56,35,75,85
113,51,55,56,61,33,76,98
114,46,45,58,60,30,70,87
115,51,55,67,55,48,83,92
116,48,46,61,54,36,78,91
117,38,47,61,57,38,75,85
118,42,44,64,57,32,81,91
119,54,55,58,56,35,74,83
120,44,45,61,59,39,84,80
121,43,50,67,70,33,70,90
122,44,51,56,63,40,86,89
123,49,38,65,65,29,71,89
124,48,57,67,50,37,83,85
125,49,48,63,54,28,77,90
126,42,47,59,46,37,77,93
127,48,45,70,62,41,80,85
128,47,48,64,55,39,82,92
129,42,41,64,55,34,76,86
130,52,54,66,55,40,80,89
131,48,53,67,60,35,80,88
132,60,47,68,52,32,78,87
133,44,53,61,71,28,77,95
134,46,45,50,49,38,76,91
135,61,52,64,56,35,79,89
136,43,45,60,62,35,71,82
137,41,41,59,52,37,76,88
138,50,43,65,57,34,86,94
139,49,47,54,64,34,76,91
140,42,44,70,59,36,68,87
141,56,48,68,54,36,80,87
142,41,48,66,56,43,88,93
143,39,48,64,51,39,75,92
144,39,54,70,52,35,75,87
145,45,53,71,62,37,78,94
146,40,47,58,63,41,89,91
147,41,47,60,53,39,83,84
148,46,43,67,58,36,80,96
149,46,42,56,47,35,82,85
150,48,49,58,57,41,85,91
151,50,51,63,55,29,72,89
152,44,41,58,60,31,70,89
153,39,52,63,56,37,81,91
154,38,54,57,53,40,72,89
155,49,52,60,60,38,80,93
156,35,48,68,57,41,79,82
157,49,46,55,42,34,81,92
158,47,61,68,59,33,82,91
159,53,56,68,66,34,81,92
160,51,42,63,49,38,83,91
161,52,49,58,67,29,75,83
162,59,58,69,53,35,89,94
163,45,41,68,66,23,72,88
164,47,45,57,60,28,74,90
165,32,42,57,56,34,74,88
166,33,44,66,57,43,81,90
167,41,44,61,56,36,79,87
168,56,48,73,58,33,77,86
169,50,52,58,64,33,79,88
170,44,63,68,62,34,75,83
171,51,40,69,59,26,83,93
172,44,53,60,60,32,79,87
173,42,48,64,49,33,80,91
174,46,43,65,61,35,73,89
175,43,47,68,55,40,81,87
176,45,51,61,53,41,81,87
177,47,49,67,58,39,78,90
178,48,42,68,59,36,68,93
179,40,49,68,51,36,81,84
180,41,42,66,54,37,79,81
181,47,47,62,55,39,85,89
182,51,51,72,59,31,77,90
183,51,52,61,59,40,81,90
184,49,44,68,52,35,79,84
185,40,53,67,53,41,80,88
186,43,54,68,52,37,80,92
187,50,50,65,62,43,79,91
188,46,53,65,60,24,74,86
189,47,43,54,57,36,76,97
190,50,49,64,53,42,80,91
191,44,50,68,59,37,79,96
192,46,47,70,63,31,82,93
193,35,52,72,60,43,73,88
194,48,51,69,47,33,86,89
195,39,50,74,48,43,85,87
196,51,54,60,56,34,77,90
197,47,41,67,58,31,78,88
198,42,42,65,60,31,83,93
199,36,47,70,62,36,84,89
200,51,42,55,55,30,81,89
201,38,44,61,58,41,73,91
202,53,48,64,57,49,84,87
203,45,48,67,59,35,85,94
204,41,48,62,48,37,82,90
205,48,51,66,53,41,85,92
206,49,45,69,58,33,78,87
207,44,40,55,54,44,81,90
208,40,51,69,59,34,75,86
209,44,57,60,58,39,73,91
210,30,48,66,52,36,82,91
211,40,43,74,53,32,77,91
212,56,43,61,60,34,80,89
213,46,46,63,56,38,85,92
214,48,45,62,55,45,76,86
215,57,61,64,58,35,85,93
216,52,45,62,45,41,72,92
217,52,45,61,50,35,74,88
218,41,44,71,62,36,88,93
219,49,42,75,55,35,78,86
220,42,41,62,58,29,75,88
221,43,50,64,54,33,69,92
222,54,53,68,64,36,79,85
223,48,46,61,49,32,73,84
224,42,38,68,52,26,68,87
225,36,49,57,51,35,77,90
226,41,41,70,57,32,71,91
227,47,46,63,47,38,77,88
228,46,58,63,64,44,84,88
229,53,52,68,49,35,75,85
230,50,55,65,59,46,82,88
231,46,46,65,59,29,71,78
232,45,47,65,53,28,77,89
233,48,56,72,58,34,80,96
234,58,53,67,59,32,86,89
235,43,44,63,55,40,82,89
236,36,40,61,57,34,77,89
237,39,45,67,52,39,79,85
238,52,55,70,59,33,70,86
239,41,48,67,56,34,80,86
240,53,45,65,55,30,73,93
241,44,41,59,51,39,78,89
242,47,52,65,53,38,75,88
243,47,60,71,63,39,73,88
244,46,44,65,62,26,77,84
245,44,61,65,52,35,81,87
246,35,50,64,53,37,76,88
247,36,39,70,63,28,82,90
248,41,45,72,57,33,72,86
249,38,48,66,48,33,79,90
250,43,49,67,55,39,82,92
251,41,51,72,55,45,83,91
252,53,56,61,52,46,78,88
253,45,55,65,54,44,78,93
254,44,47,54,54,32,79,83
255,38,39,63,52,38,75,86
256,40,53,74,55,31,80,84
257,44,52,68,53,38,76,93
258,48,53,66,57,34,87,88
259,42,51,65,65,35,73,84
260,42,47,63,63,31,75,95
261,46,55,66,55,38,80,88
262,51,54,61,52,34,79,83
263,49,54,62,57,43,77,87
264,45,48,69,57,39,80,91
265,44,47,75,53,40,80,92
266,52,40,70,59,35,72,89
267,46,41,65,68,22,75,91
268,50,59,65,53,43,81,88
269,42,49,66,56,35,67,89
270,46,50,63,49,36,83,90
271,45,51,62,55,32,76,89
272,48,58,61,61,32,75,90
273,40,52,62,59,34,77,87
274,48,52,62,53,37,79,92
275,34,42,63,57,32,75,86
276,42,45,72,56,28,75,90
277,48,49,63,55,37,69,88
278,46,50,64,57,35,75,94
279,47,48,65,59,35,79,89
280,41,48,66,45,37,76,93
281,46,48,59,54,32,83,93
282,52,51,68,57,40,81,92
283,46,42,69,53,36,75,86
284,38,52,68,76,37,80,90
285,46,41,58,52,32,81,94
286,42,58,66,58,37,82,90
287,49,49,72,53,36,83,86
288,43,47,67,59,35,78,87
289,48,44,64,54,33,83,85
290,43,44,67,62,34,76,85
291,43,39,68,55,34,73,90
292,41,44,70,57,28,74,88
293,49,36,71,62,38,82,90
294,47,37,61,51,30,70,92
295,55,54,62,57,38,75,88
296,40,36,62,55,25,80,93
297,41,47,62,60,41,81,92
298,47,52,68,49,40,72,89
299,47,39,59,48,37,88,91
300,51,50,63,63,40,81,89
301,46,38,55,56,34,76,84
302,46,62,62,50,40,75,94
303,40,48,70,49,42,79,92
304,48,49,61,59,34,83,93
305,45,46,65,51,23,77,86
306,46,36,59,63,36,75,87
307,48,49,62,60,44,80,89
308,44,50,58,58,32,83,90
309,38,48,64,53,34,74,84
310,41,44,68,65,33,77,92
311,42,44,66,62,38,82,93
312,48,49,69,59,34,80,85
313,50,50,66,57,37,78,91
314,41,49,65,48,36,76,89
315,47,46,71,63,42,81,94
316,49,52,66,57,36,79,85
317,52,48,63,58,29,69,81
318,47,44,67,59,36,80,88
319,43,45,60,57,30,80,93
320,47,40,66,56,29,79,90
321,40,50,63,57,29,66,81
322,44,50,67,56,30,72,89
323,51,47,68,51,39,72,90
324,41,49,65,57,33,72,83
325,50,47,55,59,38,78,78
326,43,33,63,58,32,76,83
327,55,50,61,54,33,75,88
328,45,46,64,60,32,77,91
329,41,42,66,50,34,80,88
330,53,44,57,65,33,64,90
331,48,43,53,59,39,79,83
332,50,44,61,61,32,71,87
333,36,39,59,58,41,75,88
334,44,47,59,55,35,71,87
335,45,48,59,55,44,85,94
336,44,35,60,57,28,73,85
337,44,55,62,57,33,76,88
338,36,45,67,51,38,76,91
